曜日,日付,収集区域1,収集区域2,収集区域3,収集区域4,収集区域5,収集区域6,収集区域7,収集区域8,収集区域9,収集区域10,収集区域11,収集区域12,収集区域13,収集区域14,収集区域15,収集区域16,収集区域21,収集区域22,収集区域23,収集区域24,収集区域25,収集区域26,収集区域27,収集区域28,収集区域29,収集区域30,収集区域31,収集区域32,収集区域41,収集区域42,収集区域44,収集区域45,収集区域46,収集区域48,収集区域49,収集区域50,収集区域51
水,2026/4/1,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2026/4/2,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2026/4/3,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/4/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/4/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/4/6,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/4/7,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/4/8,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/4/9,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/4/10,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/4/11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/4/12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/4/13,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2026/4/14,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2026/4/15,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2026/4/16,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2026/4/17,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2026/4/18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/4/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/4/20,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/4/21,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/4/22,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/4/23,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/4/24,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/4/25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/4/26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/4/27,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2026/4/28,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2026/4/29,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2026/4/30,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2026/5/1,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/5/2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/5/3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/5/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
火,2026/5/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水,2026/5/6,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/5/7,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/5/8,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/5/9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/5/10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/5/11,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2026/5/12,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2026/5/13,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2026/5/14,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2026/5/15,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2026/5/16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/5/17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/5/18,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/5/19,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/5/20,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/5/21,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/5/22,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/5/23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/5/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/5/25,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2026/5/26,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2026/5/27,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2026/5/28,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2026/5/29,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/5/30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/5/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/6/1,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/6/2,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,びん・かん・ペット,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/6/3,びん・かん・ペット,不燃,,不燃,プラマーク,,特定,プラマーク,不燃,,びん・かん・ペット,プラマーク,,,びん・かん・ペット,プラマーク,,不燃・ペット,びん・かん,不燃・ペット,プラマーク,,特定,プラマーク,特定,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/6/4,可燃,,可燃,特定,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/6/5,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,,可燃,びん・かん,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/6/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/6/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/6/8,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん,可燃,,可燃,,びん,可燃,,,可燃・びん,,
火,2026/6/9,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,,,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,びん,,,,,
水,2026/6/10,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,びん・かん,不燃・ペット,,プラマーク,,,プラマーク,不燃・ペット,不燃・ペット,びん・かん,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・びん,プラマーク,,
木,2026/6/11,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,,可燃,,,可燃,,可燃・プラ・びん
金,2026/6/12,特定,可燃,特定,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,不燃,特定,可燃,,可燃,不燃・ペット,可燃,,可燃,プラマーク,可燃,プラマーク,可燃,びん,可燃,可燃,,,,,可燃・プラ・びん,
土,2026/6/13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/6/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/6/15,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,びん・かん,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
火,2026/6/16,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,特定,,プラマーク,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,不燃・ペット,,,,,
水,2026/6/17,びん・かん・ペット,不燃,,不燃,プラマーク,,,プラマーク,不燃,,びん・かん・ペット,プラマーク,,特定,びん・かん・ペット,プラマーク,びん・かん,不燃・ペット,,不燃・ペット,プラマーク,,,プラマーク,びん・かん,,不燃・ペット,不燃・ペット,プラマーク,プラマーク,プラマーク,プラマーク,全品目,可燃・不燃・プラ・ペット,プラマーク,,
木,2026/6/18,可燃,特定,可燃,,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,不燃,可燃,プラマーク,可燃,可燃,可燃,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,,可燃,,,可燃,,可燃・不燃・プラ・ペット
金,2026/6/19,,可燃,びん・かん・ペット,可燃,びん・かん・ペット,可燃,不燃,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,プラマーク,びん・かん・ペット,,可燃,特定,可燃,,可燃,不燃・ペット,可燃,プラマーク,可燃,プラマーク,可燃,不燃・ペット,可燃,可燃,,,,,可燃・不燃・プラ・ペット,
土,2026/6/20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/6/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/6/22,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,,可燃,,可燃,びん・かん・ペット,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,特定,可燃,特定,可燃,,可燃,,かん・特定,可燃,,,可燃・かん・特定,,
火,2026/6/23,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,,特定,プラマーク,可燃,プラマーク,可燃,,可燃,プラマーク,可燃,,可燃,,可燃,,可燃,可燃,かん・特定,,,,,
水,2026/6/24,不燃,びん・かん・ペット,不燃,びん・かん・ペット,プラマーク,特定,,プラマーク,,不燃,不燃,プラマーク,不燃,不燃,不燃,プラマーク,不燃・ペット,,不燃・ペット,びん・かん,プラマーク,特定,,プラマーク,不燃・ペット,不燃・ペット,特定,,プラマーク,プラマーク,プラマーク,プラマーク,,可燃・プラ・かん・特定,プラマーク,,
木,2026/6/25,可燃,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,びん・かん・ペット,可燃,プラマーク,可燃,可燃,可燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,,可燃,,,可燃,,可燃・プラ・かん・特定
金,2026/6/26,,可燃,,可燃,不燃,可燃,びん・かん・ペット,可燃,プラマーク,可燃,特定,可燃,プラマーク,可燃,プラマーク,不燃,,可燃,,可燃,不燃・ペット,可燃,びん・かん,可燃,プラマーク,可燃,プラマーク,可燃,かん・特定,可燃,可燃,,,,,可燃・プラ・かん・特定,
土,2026/6/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
日,2026/6/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月,2026/6/29,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,びん・かん・ペット,可燃,特定,可燃,,可燃,可燃,可燃,プラマーク,可燃,プラマーク,可燃,プラマーク,可燃,,可燃,,可燃,特定,可燃,,不燃・ペット,可燃,,,可燃・不燃・ペット,,
